pkSeqID,proto,saddr,sport,daddr,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack,category,subcategory
1651068,tcp,192.168.100.149,42302,192.168.100.3,80,816,0.932605,93,0,1,0.659498,100,0.249509,0.357091,1.9784,1,DDoS,HTTP
1651117,tcp,192.168.100.149,42400,192.168.100.3,80,865,0.912376,89,0,1,0.645193,100,0.248923,0.357465,1.935487,1,DDoS,HTTP
1650996,tcp,192.168.100.147,57452,192.168.100.3,80,672,0.366841,45,0,1,0.211796,100,0.251695,0.383541,0.847183,1,DDoS,HTTP
3576927,udp,192.168.100.3,15726,184.85.248.65,53,6740,0,20,0.215891,2,0.215891,1,0,0,0.215891,0,Normal,Normal
1650289,tcp,192.168.100.150,54166,192.168.100.3,80,48,2.121414,38,0,1,2.121414,40,0.471384,0.626504,4.242828,1,DDoS,HTTP
1650971,tcp,192.168.100.149,42146,192.168.100.3,80,738,0.011359,55,0,1,0.008032,100,0.589862,0.356467,0.024096,1,DDoS,HTTP
3576943,udp,fe80::250:56ff:febe:26db,5353,ff02::fb,5353,9298,0,1,0,4,0,4,0,0,0,0,Normal,Normal
1650404,tcp,192.168.100.149,41658,192.168.100.3,80,51,1.486778,19,0,1,1.051354,100,0.291678,0.372043,3.153975,1,DDoS,HTTP
3577045,udp,192.168.100.3,39455,192.33.4.12,53,4024,0,23,0.175987,2,0.175987,2,0,0,0.175987,0,Normal,Normal
1651203,tcp,192.168.100.149,42498,192.168.100.3,80,914,2.209896,7,4.10E-05,1,1.577862,96,0.154515,0.849832,4.703077,1,DDoS,HTTP
1650643,tcp,192.168.100.150,54438,192.168.100.3,80,336,4.80E-05,27,0,1,2.80E-05,100,0.271729,0.093655,0.000111,1,DDoS,HTTP
1651054,tcp,192.168.100.149,42274,192.168.100.3,80,802,0.936228,93,0,1,0.662063,100,0.249579,0.356981,1.98609,1,DDoS,HTTP
3577136,udp,192.168.100.148,37551,192.168.217.2,53,23513,0,14,0,4,0,18,0,0.400018,0,0,Normal,Normal
3577169,udp,192.168.100.46,80,192.168.100.5,80,5,0.007544,3,4.950444,4,4.966808,3,0,19.93346,4.997833,0,Normal,Normal
1650981,tcp,192.168.100.147,57446,192.168.100.3,80,669,3.80E-05,45,0,1,2.20E-05,100,0.252351,0.239702,8.80E-05,1,DDoS,HTTP
1650861,tcp,192.168.100.149,42014,192.168.100.3,80,584,0.033413,79,8.30E-05,1,0.033496,100,0.291319,0.582639,0.066909,1,DDoS,HTTP
1651158,tcp,192.168.100.149,42482,192.168.100.3,80,906,0.905264,89,0,1,0.640158,100,0.248873,0.357788,1.920394,1,DDoS,HTTP
1650292,tcp,192.168.100.150,54194,192.168.100.3,80,83,0.030307,38,0.000102,1,0.030409,40,0.314018,0.628036,0.060716,1,DDoS,HTTP
1651058,tcp,192.168.100.149,42282,192.168.100.3,80,806,0.934376,93,0,1,0.660758,100,0.249526,0.357017,1.982165,1,DDoS,HTTP
1651157,tcp,192.168.100.149,42480,192.168.100.3,80,905,0.905257,89,0,1,0.640154,100,0.248867,0.357781,1.920381,1,DDoS,HTTP
1650919,tcp,192.168.100.149,41962,192.168.100.3,80,558,1.467974,55,0,1,1.467974,100,0.681211,0.506753,2.935948,1,DDoS,HTTP
1651077,tcp,192.168.100.149,42320,192.168.100.3,80,825,0.917568,93,0,1,0.648873,100,0.248908,0.357164,1.94651,1,DDoS,HTTP
1650281,tcp,192.168.100.150,54150,192.168.100.3,80,40,2.115747,38,0,1,2.115747,40,0.472646,0.62603,4.231494,1,DDoS,HTTP
1650856,tcp,192.168.100.150,54506,192.168.100.3,80,713,0.210114,19,0,1,0.148573,100,0.544075,0.147905,0.445719,1,DDoS,HTTP
3577121,arp,192.168.100.1,-1,192.168.100.3,-1,17793,0,3,2.00E-05,2,2.00E-05,7,0,0,2.00E-05,0,Normal,Normal
1651061,tcp,192.168.100.149,42288,192.168.100.3,80,809,0.932529,93,0,1,0.659434,100,0.249463,0.357039,1.978229,1,DDoS,HTTP
1650597,tcp,192.168.100.147,57194,192.168.100.3,80,310,0.001969,25,8.40E-05,1,0.002053,100,0.2908,0.581599,0.004022,1,DDoS,HTTP
1650406,tcp,192.168.100.149,41664,192.168.100.3,80,54,1.484983,19,0,1,1.050085,100,0.291592,0.372065,3.150168,1,DDoS,HTTP
3576935,udp,192.168.100.3,49393,192.12.94.30,53,6762,0,20,0.16424,2,0.16424,1,0,0,0.16424,0,Normal,Normal
3577069,tcp,192.168.100.150,60168,52.11.124.117,443,5429,0,14,0.873009,6,0.873009,4,16.036489,17.181953,0.873009,0,Normal,Normal
1650808,tcp,192.168.100.149,41926,192.168.100.3,80,537,1.520561,79,1.936056,1,3.456617,100,0.299321,0.418104,4.977178,1,DDoS,HTTP
1650892,tcp,192.168.100.149,42076,192.168.100.3,80,615,0.012217,79,7.90E-05,1,0.012296,100,0.291637,0.583275,0.024513,1,DDoS,HTTP
1650506,tcp,192.168.100.147,57154,192.168.100.3,80,203,0.453335,25,0.973114,1,1.426449,100,0.433204,0.633051,1.879784,1,DDoS,HTTP
3577301,udp,192.168.100.3,47904,192.5.5.241,53,3700,0,74,0.028228,2,0.028228,3,0,0,0.028228,0,Normal,Normal
1650282,tcp,192.168.100.150,54152,192.168.100.3,80,41,2.115973,38,0,1,2.115973,40,0.472596,0.626061,4.231945,1,DDoS,HTTP
1650915,tcp,192.168.100.149,41960,192.168.100.3,80,557,1.464835,55,0,1,1.464835,100,0.682671,0.506775,2.92967,1,DDoS,HTTP
1650405,tcp,192.168.100.149,41660,192.168.100.3,80,52,1.484948,19,0,1,1.050061,100,0.291577,0.372052,3.150095,1,DDoS,HTTP
1651050,tcp,192.168.100.149,42266,192.168.100.3,80,798,0.936178,93,0,1,0.662021,100,0.249555,0.356955,1.985976,1,DDoS,HTTP
1650518,tcp,192.168.100.150,54242,192.168.100.3,80,219,0.498052,54,0,1,0.352176,100,0.491685,0.091838,1.056527,1,DDoS,HTTP
3577067,tcp,192.168.100.148,53060,52.11.124.117,443,5426,0,10,1.525284,6,1.525284,4,9.834234,10.489849,1.525284,0,Normal,Normal
1651104,tcp,192.168.100.149,42374,192.168.100.3,80,852,0.914116,89,0,1,0.646419,100,0.248928,0.357377,1.939174,1,DDoS,HTTP
3577008,udp,192.168.100.6,138,192.168.100.255,138,1997,0,5,0,4,0,5,0,0.001111,0,0,Normal,Normal
3576904,udp,192.168.100.150,8612,192.168.100.255,8612,3082,0,14,0.01005,4,0.01005,3,0,99.502487,0.01005,0,Normal,Normal
3577298,udp,192.168.100.3,43648,192.54.112.30,53,3697,0,29,0.197034,2,0.197034,2,0,0,0.197034,0,Normal,Normal
1650332,tcp,192.168.100.149,41734,192.168.100.3,80,123,0.943989,46,0,1,0.66754,100,0.262955,0.372819,2.002541,1,DDoS,HTTP
3577289,udp,192.168.100.3,56558,192.33.4.12,53,3679,0,29,0.168275,2,0.168275,1,0,0,0.168275,0,Normal,Normal
1651031,tcp,192.168.100.149,42228,192.168.100.3,80,779,0.014114,93,0,1,0.00998,100,0.591067,0.356808,0.029941,1,DDoS,HTTP
3577237,udp,192.168.100.147,42779,192.168.217.2,53,17499,0,11,0,4,0,20,0,0.399832,0,0,Normal,Normal
1650377,tcp,192.168.100.147,57084,192.168.100.3,80,168,0.021984,32,1.920416,1,1.9424,100,0.430821,0.560047,1.964383,1,DDoS,HTTP
1650583,tcp,192.168.100.150,54396,192.168.100.3,80,296,5.40E-05,54,0,1,3.10E-05,100,0.249024,0.091895,0.000125,1,DDoS,HTTP
3577327,udp,192.168.100.3,31685,205.251.196.32,53,3735,0,74,0.009492,2,0.009492,2,0,0,0.009492,0,Normal,Normal
1650878,tcp,192.168.100.149,42048,192.168.100.3,80,601,0.017536,79,9.70E-05,1,0.017632,100,0.291504,0.583009,0.035168,1,DDoS,HTTP
3577216,udp,192.168.100.149,38685,27.124.125.250,123,8557,0,9,0.048481,2,0.048481,3,0,0,0.048481,0,Normal,Normal
1650271,tcp,192.168.100.150,54130,192.168.100.3,80,30,1.613026,38,0,1,1.613026,40,0.619953,0.625404,3.226052,1,DDoS,HTTP
3576951,ipv6-icmp,fe80::250:56ff:febe:89ee,133,ff02::2,0,12539,0,1,0,8,0,1,0,0,0,0,Normal,Normal
1651072,tcp,192.168.100.149,42310,192.168.100.3,80,820,0.930759,93,0,1,0.658192,100,0.249451,0.35712,1.974484,1,DDoS,HTTP
1651149,tcp,192.168.100.149,42464,192.168.100.3,80,897,0.905149,89,0,1,0.640078,100,0.248814,0.357721,1.920153,1,DDoS,HTTP
1651197,tcp,192.168.100.149,42544,192.168.100.3,80,939,0.016631,89,7.90E-05,1,0.016709,100,0.293111,0.586222,0.03334,1,DDoS,HTTP
1650699,tcp,192.168.100.147,57302,192.168.100.3,80,449,0.000177,53,0,1,0.000102,100,0.249951,0.178416,0.000408,1,DDoS,HTTP
1650690,tcp,192.168.100.147,57292,192.168.100.3,80,440,4.20E-05,53,0,1,2.40E-05,100,0.250086,0.178408,9.60E-05,1,DDoS,HTTP
3577128,udp,192.168.100.148,56344,8.8.8.8,53,21458,0,14,0.007357,2,0.007357,19,0,0,0.007357,0,Normal,Normal
3577220,udp,192.168.100.148,56984,27.124.125.250,123,12642,0,20,0.04829,2,0.04829,3,0,0,0.04829,0,Normal,Normal
3576885,arp,192.168.100.1,-1,192.168.100.3,-1,9,2.00E-06,2,4.00E-06,2,6.00E-06,85,0.000836,0.000836,7.00E-06,0,Normal,Normal
1650980,tcp,192.168.100.147,57444,192.168.100.3,80,668,3.90E-05,45,0,1,2.30E-05,100,0.252343,0.239698,9.00E-05,1,DDoS,HTTP
1650591,tcp,192.168.100.147,57182,192.168.100.3,80,304,0.004672,25,9.80E-05,1,0.004771,100,0.2907,0.5814,0.009443,1,DDoS,HTTP
1650334,tcp,192.168.100.149,41738,192.168.100.3,80,125,0.944009,46,0,1,0.667556,100,0.262967,0.372832,2.002587,1,DDoS,HTTP
1650631,tcp,192.168.100.147,57222,192.168.100.3,80,401,0.485186,53,0,1,0.343079,100,0.493524,0.178343,1.029236,1,DDoS,HTTP
1651234,tcp,192.168.100.147,57560,192.168.100.3,80,983,0.004854,89,0,1,0.003432,96,0.593489,0.23749,0.010296,1,DDoS,HTTP
1651093,tcp,192.168.100.149,42352,192.168.100.3,80,841,0.915872,93,0,1,0.647665,100,0.248936,0.357291,1.942904,1,DDoS,HTTP
1651007,tcp,192.168.100.147,57466,192.168.100.3,80,679,5.50E-05,7,0,1,3.10E-05,100,0.274907,0.251915,0.000126,1,DDoS,HTTP
1651232,tcp,192.168.100.147,57556,192.168.100.3,80,981,0.002707,89,0,1,0.001914,96,0.593898,0.237484,0.005742,1,DDoS,HTTP
3576955,arp,192.168.100.4,-1,192.168.100.1,-1,13109,0,3,0.000251,2,0.000251,7,0,0,0.000251,0,Normal,Normal
1650991,tcp,192.168.100.149,42170,192.168.100.3,80,750,0.012019,55,0,1,0.008499,100,0.589831,0.356557,0.025496,1,DDoS,HTTP
3577207,udp,192.168.100.147,53363,192.168.217.2,53,5335,0,11,0,4,0,20,0,0.400023,0,0,Normal,Normal
3577262,udp,192.168.100.148,55376,192.168.217.2,53,1835,0,20,0,4,0,20,0,0.399831,0,0,Normal,Normal
3577034,udp,192.168.100.46,80,192.168.100.5,80,1,0.091445,3,3.56061,4,4.956414,3,0,18.047676,4.99944,0,Normal,Normal
1651242,tcp,192.168.100.147,57576,192.168.100.3,80,991,0.004451,89,0,1,0.003147,96,0.593809,0.23752,0.009442,1,DDoS,HTTP
1650525,tcp,192.168.100.150,54256,192.168.100.3,80,226,0.504088,54,0,1,0.356444,100,0.490627,0.091843,1.069332,1,DDoS,HTTP
1650912,tcp,192.168.100.149,41958,192.168.100.3,80,556,1.464874,55,0,1,1.464874,100,0.682653,0.506763,2.929747,1,DDoS,HTTP
1650908,tcp,192.168.100.147,57370,192.168.100.3,80,631,3.80E-05,45,0,1,2.20E-05,100,0.252369,0.239534,8.80E-05,1,DDoS,HTTP
3577015,udp,192.168.100.4,5353,224.0.0.251,5353,3687,0,5,0,4,0,2,0,0,0,0,Normal,Normal
1650897,tcp,192.168.100.149,42086,192.168.100.3,80,620,0.007896,79,7.90E-05,1,0.007975,100,0.291697,0.583394,0.015871,1,DDoS,HTTP
1650456,tcp,192.168.100.150,54264,192.168.100.3,80,230,0.983452,47,0,1,0.695405,100,0.420577,0.091846,2.086216,1,DDoS,HTTP
3577036,tcp,192.168.100.5,0,192.168.100.3,0,4,0.098533,1,3.455623,2,4.920921,5,0,11.01012,4.997121,0,Normal,Normal
1650601,tcp,192.168.100.150,54386,192.168.100.3,80,291,0.088777,27,0,1,0.051255,100,0.248818,0.11027,0.205021,1,DDoS,HTTP
1650494,tcp,192.168.100.150,54302,192.168.100.3,80,249,4.90E-05,47,0,1,2.80E-05,100,0.274724,0.09186,0.000113,1,DDoS,HTTP
3577300,udp,192.168.100.3,1285,192.5.5.241,53,3699,0,29,0.027786,2,0.027786,2,0,0,0.027786,0,Normal,Normal
1650532,tcp,192.168.100.148,55522,192.168.100.3,80,376,0.35405,21,0,1,0.250351,100,0.517525,0.100233,0.751054,1,DDoS,HTTP
1651167,tcp,192.168.100.150,54524,192.168.100.3,80,945,1.496896,11,0,1,1.058465,100,0.36482,0.221759,3.175396,1,DDoS,HTTP
3576906,udp,fe80::250:56ff:febe:254,8612,ff02::1,8612,3084,0,2,0.010024,4,0.010024,2,0,99.760574,0.010024,0,Normal,Normal
1651006,tcp,192.168.100.147,57464,192.168.100.3,80,678,5.10E-05,7,0,1,2.90E-05,100,0.274899,0.251911,0.000117,1,DDoS,HTTP
1650410,tcp,192.168.100.149,41662,192.168.100.3,80,53,1.481132,19,0,1,1.047361,100,0.291356,0.37206,3.141997,1,DDoS,HTTP
3577061,udp,192.168.100.149,41708,27.124.125.250,123,5411,0,12,0.04841,2,0.04841,4,0,0,0.04841,0,Normal,Normal
1650310,tcp,192.168.100.150,54230,192.168.100.3,80,101,0.008925,21,0.000101,1,0.009026,100,0.314287,0.628575,0.017951,1,DDoS,HTTP
1650300,tcp,192.168.100.150,54210,192.168.100.3,80,91,0.020798,38,0.000158,1,0.020956,40,0.314133,0.628265,0.041753,1,DDoS,HTTP
1650284,tcp,192.168.100.150,54156,192.168.100.3,80,43,2.117682,38,0,1,2.117682,40,0.472214,0.626353,4.235365,1,DDoS,HTTP
1650723,tcp,192.168.100.147,57322,192.168.100.3,80,471,5.10E-05,46,0,1,2.90E-05,100,0.249618,0.178441,0.000117,1,DDoS,HTTP
1651235,tcp,192.168.100.147,57562,192.168.100.3,80,984,0.004741,89,0,1,0.003352,96,0.593552,0.237496,0.010057,1,DDoS,HTTP
1650380,tcp,192.168.100.147,57090,192.168.100.3,80,171,0.019269,32,1.92195,1,1.941225,100,0.43064,0.560106,1.960499,1,DDoS,HTTP
1650761,tcp,192.168.100.149,41888,192.168.100.3,80,509,0.918042,45,0,1,0.649345,100,0.249191,0.357485,1.947653,1,DDoS,HTTP
3577156,udp,192.168.100.147,40191,8.8.8.8,53,31872,0,18,0.007486,2,0.007486,19,0,0,0.007486,0,Normal,Normal
1651100,tcp,192.168.100.149,42366,192.168.100.3,80,848,0.914068,93,0,1,0.646392,100,0.2489,0.357345,1.93908,1,DDoS,HTTP
1650624,tcp,192.168.100.150,54422,192.168.100.3,80,328,4.90E-05,27,0,1,2.90E-05,100,0.27173,0.093648,0.000114,1,DDoS,HTTP
1651022,tcp,192.168.100.149,42210,192.168.100.3,80,770,0.014773,93,0,1,0.010446,100,0.590713,0.356737,0.031339,1,DDoS,HTTP
1650975,tcp,192.168.100.147,57438,192.168.100.3,80,665,3.90E-05,45,0,1,2.30E-05,100,0.25232,0.239686,9.10E-05,1,DDoS,HTTP
1650788,tcp,192.168.100.147,57496,192.168.100.3,80,694,2.268793,46,0,1,1.604279,100,0.303463,0.531312,4.812836,1,DDoS,HTTP
1650459,tcp,192.168.100.150,54270,192.168.100.3,80,233,0.984037,47,0,1,0.695819,100,0.420414,0.091847,2.087457,1,DDoS,HTTP
1650716,tcp,192.168.100.149,41838,192.168.100.3,80,466,0.934849,45,0,1,0.661085,100,0.249769,0.35729,1.983161,1,DDoS,HTTP
3576979,udp,192.168.100.150,49402,8.8.8.8,53,14639,0,14,0.007175,2,0.007175,10,0,0,0.007175,0,Normal,Normal
1650347,tcp,192.168.100.149,41764,192.168.100.3,80,138,0.940271,46,0,1,0.664913,100,0.262869,0.372934,1.994656,1,DDoS,HTTP
1651118,tcp,192.168.100.149,42402,192.168.100.3,80,866,0.912384,89,0,1,0.645199,100,0.248931,0.357474,1.935504,1,DDoS,HTTP
1650500,tcp,192.168.100.150,54314,192.168.100.3,80,255,4.40E-05,47,0,1,2.60E-05,100,0.273885,0.091864,0.000102,1,DDoS,HTTP
1650509,tcp,192.168.100.147,57160,192.168.100.3,80,206,0.458171,25,0.969208,1,1.427379,100,0.433017,0.633124,1.885551,1,DDoS,HTTP
1650903,tcp,192.168.100.149,42098,192.168.100.3,80,626,0.004006,55,8.80E-05,1,0.004093,100,0.291744,0.583488,0.008099,1,DDoS,HTTP
1650750,tcp,192.168.100.147,57344,192.168.100.3,80,498,3.60E-05,46,0,1,2.10E-05,100,0.24931,0.178473,8.30E-05,1,DDoS,HTTP
3577064,udp,192.168.100.149,57424,8.8.8.8,53,5421,0.060596,12,0.158806,2,0.219402,14,8.067965,362.97641,0.279998,0,Normal,Normal
1650815,tcp,192.168.100.148,55552,192.168.100.3,80,521,1.330962,1,0,1,0.665489,100,0.170657,0.225121,3.327412,1,DDoS,HTTP
1650978,tcp,192.168.100.147,57440,192.168.100.3,80,666,3.70E-05,45,0,1,2.20E-05,100,0.252329,0.239691,8.60E-05,1,DDoS,HTTP
1651126,tcp,192.168.100.149,42418,192.168.100.3,80,874,0.908649,89,0,1,0.642553,100,0.248822,0.357541,1.927577,1,DDoS,HTTP
1650721,tcp,192.168.100.147,57320,192.168.100.3,80,469,5.20E-05,46,0,1,3.00E-05,100,0.249607,0.178437,0.000119,1,DDoS,HTTP
3577266,arp,192.168.100.27,-1,192.168.100.1,-1,3060,2.20E-05,4,6.80E-05,2,9.30E-05,10,0.002486,0.002486,0.000122,0,Normal,Normal
1650328,tcp,192.168.100.149,41726,192.168.100.3,80,119,0.945829,46,0,1,0.668854,100,0.263018,0.372786,2.006458,1,DDoS,HTTP
1650610,tcp,192.168.100.149,41800,192.168.100.3,80,319,0.006137,17,0.000105,1,0.006242,100,0.327037,0.654073,0.012379,1,DDoS,HTTP
1650468,tcp,192.168.100.148,55476,192.168.100.3,80,353,1.932669,18,0,1,1.886662,100,0.054574,0.254677,4.892825,1,DDoS,HTTP
1650516,tcp,192.168.100.150,54238,192.168.100.3,80,217,0.494266,54,0,1,0.349499,100,0.492259,0.091837,1.048497,1,DDoS,HTTP
1650734,tcp,192.168.100.149,41860,192.168.100.3,80,482,0.923577,45,0,1,0.653239,100,0.249347,0.357378,1.959374,1,DDoS,HTTP
1650683,tcp,192.168.100.147,57286,192.168.100.3,80,435,6.50E-05,53,0,1,3.80E-05,100,0.250069,0.178403,0.00015,1,DDoS,HTTP
1651001,tcp,192.168.100.149,42182,192.168.100.3,80,756,0.013366,93,0,1,0.009451,100,0.591517,0.356616,0.028354,1,DDoS,HTTP
1650773,tcp,192.168.100.148,55554,192.168.100.3,80,522,1.495136,1,0,1,1.055918,100,0.359546,0.306985,3.296264,1,DDoS,HTTP
1650997,tcp,192.168.100.149,42180,192.168.100.3,80,755,0.013462,55,0,1,0.009519,100,0.590054,0.356603,0.028557,1,DDoS,HTTP
1651230,tcp,192.168.100.147,57552,192.168.100.3,80,979,0.002811,89,0,1,0.001988,96,0.594268,0.237476,0.005963,1,DDoS,HTTP
3576913,udp,192.168.100.148,33862,192.168.217.2,53,4134,0,12,0,4,0,8,0,0.399813,0,0,Normal,Normal
3577080,tcp,192.168.100.3,58256,172.217.25.170,443,5443,0.138228,23,0.00603,6,0.103319,2,0.087675,0.12859,0.341582,0,Normal,Normal
1650371,tcp,192.168.100.147,57072,192.168.100.3,80,162,0.499152,32,1.952268,1,2.45142,100,0.375034,0.502435,2.950572,1,DDoS,HTTP
1651185,tcp,192.168.100.149,42516,192.168.100.3,80,925,0.892247,89,0.000288,1,0.892536,100,0.594623,0.732064,1.784783,1,DDoS,HTTP
3576989,udp,192.168.100.27,5353,224.0.0.251,5353,23867,0,2,0,4,0,24,0,0,0,0,Normal,Normal
3577025,udp,192.168.100.7,138,192.168.100.255,138,1991,1.40E-05,5,6.80E-05,4,8.20E-05,5,0,0.004119,9.50E-05,0,Normal,Normal
1650428,tcp,192.168.100.149,41692,192.168.100.3,80,75,1.458634,19,0,1,1.031473,100,0.290257,0.372302,3.094293,1,DDoS,HTTP
1650308,tcp,192.168.100.150,54226,192.168.100.3,80,99,0.012423,21,9.80E-05,1,0.01252,100,0.314243,0.628486,0.024943,1,DDoS,HTTP
1650439,tcp,192.168.100.147,57122,192.168.100.3,80,187,0.518821,16,0.911233,1,1.430054,100,0.503843,0.632663,1.948875,1,DDoS,HTTP
1650736,tcp,192.168.100.149,41862,192.168.100.3,80,484,0.923557,45,0,1,0.653295,100,0.249353,0.357385,1.959402,1,DDoS,HTTP
3577021,udp,192.168.100.150,45932,27.124.125.250,123,4286,0,14,0.048539,2,0.048539,4,0,0,0.048539,0,Normal,Normal
3577357,udp,192.168.100.3,36242,205.251.194.102,53,3808,0,74,0.293476,2,0.293476,2,0,0,0.293476,0,Normal,Normal
1650280,tcp,192.168.100.150,54148,192.168.100.3,80,39,2.115561,38,0,1,2.115561,40,0.472688,0.625994,4.231123,1,DDoS,HTTP
1650553,tcp,192.168.100.150,54332,192.168.100.3,80,264,5.40E-05,54,0,1,3.10E-05,100,0.249303,0.091871,0.000125,1,DDoS,HTTP
3577078,udp,192.168.100.3,24460,192.112.36.4,53,5441,0,23,0.143069,2,0.143069,2,0,0,0.143069,0,Normal,Normal
3577018,arp,192.168.100.4,-1,192.168.100.7,-1,485,4.10E-05,5,0.00016,2,0.000212,2,0.002751,0.002751,0.000262,0,Normal,Normal
1651101,tcp,192.168.100.149,42368,192.168.100.3,80,849,0.914077,89,0,1,0.646402,100,0.248908,0.357354,1.939102,1,DDoS,HTTP
3577152,udp,192.168.100.150,36951,8.8.8.8,53,31709,0,18,0.007909,2,0.007909,19,0,0,0.007909,0,Normal,Normal
3576899,udp,192.168.100.149,34295,8.8.8.8,53,1110,0,26,0.007698,2,0.007698,2,0,0,0.007698,0,Normal,Normal
1651136,tcp,192.168.100.149,42438,192.168.100.3,80,884,0.908775,89,0,1,0.642643,100,0.248895,0.357625,1.927845,1,DDoS,HTTP
1650473,tcp,192.168.100.148,55488,192.168.100.3,80,359,2.266046,18,0,1,1.602337,100,0.304487,0.092683,4.80701,1,DDoS,HTTP
1650687,tcp,192.168.100.148,55478,192.168.100.3,80,354,0.442126,3,0,1,0.255262,100,0.275823,0.109148,1.021046,1,DDoS,HTTP
3577003,udp,192.168.100.149,35541,27.124.125.250,123,1217,0,12,0.049033,2,0.049033,4,0,0,0.049033,0,Normal,Normal
3576947,udp,192.168.100.4,5353,224.0.0.251,5353,11519,0,3,0,4,0,24,0,0,0,0,Normal,Normal
1650943,tcp,192.168.100.149,42116,192.168.100.3,80,723,0.011456,55,0,1,0.0081,100,0.589182,0.356329,0.024301,1,DDoS,HTTP
1651051,tcp,192.168.100.149,42268,192.168.100.3,80,799,0.936188,93,0,1,0.662026,100,0.249561,0.356962,1.985996,1,DDoS,HTTP
1650482,tcp,192.168.100.148,55506,192.168.100.3,80,368,1.164315,18,0,1,0.475336,100,0.081418,0.245626,3.327314,1,DDoS,HTTP
1650917,tcp,192.168.100.149,41970,192.168.100.3,80,562,1.468667,55,0,1,1.468667,100,0.68089,0.506816,2.937334,1,DDoS,HTTP
3576991,tcp,192.168.100.5,0,192.168.100.3,0,3,0.026395,7,4.889463,2,4.945239,7,0,10.964783,4.997683,0,Normal,Normal
1650318,tcp,192.168.100.149,41706,192.168.100.3,80,109,0.926897,46,0,1,0.655468,100,0.261987,0.372655,1.966299,1,DDoS,HTTP
1651161,tcp,192.168.100.149,42488,192.168.100.3,80,909,0.905292,89,0,1,0.640179,100,0.248897,0.357817,1.920455,1,DDoS,HTTP
1650444,tcp,192.168.100.147,57132,192.168.100.3,80,192,0.428362,16,1.000878,1,1.42924,100,0.434738,0.632785,1.857601,1,DDoS,HTTP
1650576,tcp,192.168.100.150,54378,192.168.100.3,80,287,4.50E-05,54,0,1,2.60E-05,100,0.249195,0.091889,0.000105,1,DDoS,HTTP
3577309,udp,192.168.100.3,43980,205.251.194.86,53,3715,0,74,0.294063,2,0.294063,2,0,0,0.294063,0,Normal,Normal
1650370,tcp,192.168.100.147,57070,192.168.100.3,80,161,0.489018,32,1.964202,1,2.45322,100,0.375584,0.502424,2.942238,1,DDoS,HTTP
1651202,tcp,192.168.100.149,42554,192.168.100.3,80,944,0.015552,7,0.000101,1,0.015653,96,0.293162,0.586324,0.031205,1,DDoS,HTTP
1650616,tcp,192.168.100.147,57206,192.168.100.3,80,393,0.47804,53,0,1,0.338026,100,0.495318,0.178332,1.014077,1,DDoS,HTTP
1650641,tcp,192.168.100.147,57236,192.168.100.3,80,408,0.966186,53,0,1,0.683197,100,0.422995,0.178358,2.04959,1,DDoS,HTTP
1651160,tcp,192.168.100.149,42486,192.168.100.3,80,908,0.905281,89,0,1,0.640173,100,0.248887,0.357805,1.920434,1,DDoS,HTTP
1650364,tcp,192.168.100.147,57058,192.168.100.3,80,155,1.508152,32,1.967981,1,3.476133,100,0.299076,0.666729,4.984285,1,DDoS,HTTP
1651192,tcp,192.168.100.149,42530,192.168.100.3,80,932,0.890338,89,0.000308,1,0.890647,100,0.594621,0.73247,1.780985,1,DDoS,HTTP
1650558,tcp,192.168.100.150,54342,192.168.100.3,80,269,4.50E-05,54,0,1,2.60E-05,100,0.249275,0.091875,0.000105,1,DDoS,HTTP
1650378,tcp,192.168.100.147,57086,192.168.100.3,80,169,0.019102,32,1.922224,1,1.941319,100,0.4306,0.560071,1.960415,1,DDoS,HTTP
1650477,tcp,192.168.100.148,55496,192.168.100.3,80,363,2.266478,18,0,1,1.602642,100,0.304432,0.092687,4.807926,1,DDoS,HTTP
1650728,tcp,192.168.100.147,57326,192.168.100.3,80,476,6.60E-05,46,0,1,3.80E-05,100,0.249472,0.178447,0.000153,1,DDoS,HTTP
1650970,tcp,192.168.100.147,57432,192.168.100.3,80,662,4.80E-05,45,0,1,2.80E-05,100,0.252292,0.239671,0.000112,1,DDoS,HTTP
1650512,tcp,192.168.100.147,57166,192.168.100.3,80,209,0.465166,25,0.961271,1,1.426437,100,0.432568,0.633184,1.891603,1,DDoS,HTTP
3577254,udp,192.168.100.149,58139,192.168.217.2,53,26978,0,9,0,4,0,20,0,0.399829,0,0,Normal,Normal
1650340,tcp,192.168.100.149,41750,192.168.100.3,80,131,0.942152,46,0,1,0.666248,100,0.26292,0.372885,1.998652,1,DDoS,HTTP
1650400,tcp,192.168.100.150,54102,192.168.100.3,80,16,0.679139,21,0.001042,1,0.680181,100,0.594156,0.780213,1.35932,1,DDoS,HTTP
1650388,tcp,192.168.100.147,57106,192.168.100.3,80,179,0.014539,32,1.923574,1,1.938113,100,0.430312,0.560265,1.952652,1,DDoS,HTTP
3577259,udp,192.168.100.148,46152,224.0.0.251,5353,1671,0,20,0,4,0,8,0,0,0,0,Normal,Normal
1650314,tcp,192.168.100.150,54236,192.168.100.3,80,105,0.001239,21,9.70E-05,1,0.001336,100,0.314341,0.628682,0.002574,1,DDoS,HTTP
